pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,boldvoice,108128217985547,BoldVoice,3544924569015770,Image,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,86,109,98,109,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,959312276864665,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,86,86,86,86,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1991912661407933,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,87,115,101,115,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,4584629545126928,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,87,87,87,87,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1340220401324261,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,89,101,95,101,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1301634755482783,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-15,20,False,90,97,94,97,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,992405976819275,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,91,119,105,91,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2342930256197322,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,92,115,104,92,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2159877171519843,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,93,118,106,118,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2039198016658787,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-16,19,False,94,122,108,122,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,4429177684068086,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,94,101,98,94,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1348180087173623,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,95,117,106,117,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2212200092857010,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-15,20,False,96,107,102,107,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2061963251408700,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,97,108,102,108,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1453989329369748,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-20,15,False,99,126,112,126,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,857761763493879,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,99,99,99,99,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,910602998668831,Image,,,,,2026-05-28,2026-06-04,2,2,2026-05-20,15,False,100,129,114,129,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,4262198797331246,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,100,100,100,100,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1781877629858537,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,102,116,109,116,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1996498900940898,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,103,130,116,130,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,993941960114708,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,104,125,114,125,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2945199169019337,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,105,124,114,124,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2345828505885687,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,105,114,110,105,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2035589236990984,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,106,119,112,119,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1323608763030368,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,107,128,118,128,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1336693844978558,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,108,127,118,127,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,978884424737424,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,109,132,120,132,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2568375130242443,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,110,133,122,133,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2083585642570211,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,111,131,121,131,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,967672316179759,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,112,121,116,121,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1666559637701729,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-17,18,False,113,120,116,120,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,4544230265864477,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,116,135,126,135,True,False,167,0.0,False,False,False,new,high
