ad_id,language_copy,language_audio,agreement_status,is_codeswitch
1529321882132386,Tamil,Tamil,agree,false
1529591205546777,English,Hindi,disagree,true
1530098145357085,Malayalam,Malayalam,agree,false
1530231268517968,Kannada,Kannada,agree,false
1530439098436504,Kannada,Kannada,agree,false
1531173532000419,Malayalam,Malayalam,agree,false
1532213468692292,Malayalam,Malayalam,agree,false
1532870848513933,English,Hindi,disagree,true
1535372884822703,Telugu,Telugu,agree,false
1536411941329964,Tamil,Tamil,agree,false
1536680921225179,Marathi,Marathi,agree,false
1536715494649558,Tamil,Tamil,agree,false
1536856024770034,English,Hindi,disagree,true
1537221441214812,Tamil,Tamil,agree,false
1537583717704545,Telugu,Telugu,agree,false
1539028177185374,Bengali,Bengali,agree,false
1539307817777791,Telugu,Telugu,agree,false
1539756771201455,Marathi,Marathi,agree,false
1541004774310767,Telugu,Telugu,agree,false
1541902667322346,Telugu,Telugu,agree,false
1543430324019962,English,Hindi,disagree,true
1544277357216388,Tamil,Tamil,agree,false
1544380703870356,English,Hindi,disagree,true
1546738243449603,Bengali,Bengali,agree,false
1547254686967064,Tamil,Tamil,agree,false
1547555903540302,Telugu,Telugu,agree,false
1549310346578195,Telugu,Telugu,agree,false
1549558530222265,Tamil,Tamil,agree,false
1551969199772400,Marathi,Marathi,agree,false
1552891233073638,Tamil,Tamil,agree,false
1553049886391368,Marathi,Marathi,agree,false
1555341046258540,Gujarati,Gujarati,agree,false
1555389392591097,Marathi,Marathi,agree,false
1555850109496354,English,Hindi,disagree,true
1556601025436131,Bengali,Bengali,agree,false
1557981489376910,Telugu,Telugu,agree,false
1558182202492615,Tamil,Tamil,agree,false
1558642682492094,English,Hindi,disagree,true
1559698442249274,Marathi,Marathi,agree,false
1560434122167033,English,Hindi,disagree,true
1561329018844614,Tamil,Tamil,agree,false
1561720772037299,Bengali,Bengali,agree,false
1561773591951150,Telugu,Telugu,agree,false
1561884662029196,Gujarati,Gujarati,agree,false
1563401251429096,Tamil,Tamil,agree,false
1564106068677720,Tamil,Tamil,agree,false
1566066851151129,Tamil,Tamil,agree,false
1566601798458309,Tamil,Tamil,agree,false
1567427324338391,Tamil,Tamil,agree,false
1567766221632447,Kannada,Kannada,agree,false
1567890598025665,Telugu,Telugu,agree,false
1568040264293931,English,English,agree,false
1571501974333983,English,Hindi,disagree,true
1576543196960751,Malayalam,Malayalam,agree,false
1578225453239300,Gujarati,Gujarati,agree,false
1579256663181765,Marathi,Marathi,agree,false
1579612067062961,Telugu,Telugu,agree,false
1580328820382730,Marathi,Marathi,agree,false
1581838189759945,Tamil,Tamil,agree,false
1583933756013633,English,Hindi,disagree,true
1585617636898981,Tamil,Tamil,agree,false
1587377062318723,Tamil,Tamil,agree,false
1588105538932312,Telugu,Telugu,agree,false
1589202742765592,Tamil,Tamil,agree,false
1591761556292288,Marathi,Marathi,agree,false
1592044018737354,Tamil,Tamil,agree,false
1592301229332646,Malayalam,Malayalam,agree,false
1592551325145055,Marathi,Marathi,agree,false
1592647208460957,Marathi,Marathi,agree,false
1593881836073732,English,English,agree,false
1594691094930621,Kannada,Kannada,agree,false
1594922091609640,English,Hindi,disagree,true
1595108178304052,Malayalam,Malayalam,agree,false
1596918468180759,English,Hindi,disagree,true
1598091577944535,Bengali,Bengali,agree,false
1601352417781439,Tamil,Tamil,agree,false
1601587284252288,Gujarati,Gujarati,agree,false
1601951614205367,Bengali,Bengali,agree,false
1603644724186218,Tamil,Tamil,agree,false
1603652110726963,Telugu,Telugu,agree,false
1604451180614858,Marathi,Marathi,agree,false
1604765177255190,Bengali,Bengali,agree,false
1604785474162240,Malayalam,Malayalam,agree,false
1605300637184266,Marathi,Marathi,agree,false
1606083887290831,English,Hindi,disagree,true
1608996323737663,Gujarati,Gujarati,agree,false
1609972700062447,Kannada,Kannada,agree,false
1610994969957745,Marathi,Marathi,agree,false
1612614686503372,English,Hindi,disagree,true
1612701149834888,Tamil,Tamil,agree,false
1613007016632719,Tamil,Tamil,agree,false
1614741389625403,Kannada,Kannada,agree,false
1614783906399545,Tamil,Tamil,agree,false
1615005419579542,English,Hindi,disagree,true
1617673956086851,English,English,agree,false
1618813365848433,Marathi,Marathi,agree,false
1620376385881859,English,Hindi,disagree,true
1620491635933671,Bengali,Bengali,agree,false
1621840732206711,Telugu,Telugu,agree,false
1622316815528717,English,Hindi,disagree,true
1622507415558676,Malayalam,Malayalam,agree,false
1622638588998351,Marathi,Marathi,agree,false
1624171552207010,Marathi,Marathi,agree,false
1624336858626264,Telugu,Telugu,agree,false
1625096595272565,English,Hindi,disagree,true
1625873801849131,English,English,agree,false
1626034001814352,Tamil,Tamil,agree,false
1626121971865132,English,English,agree,false
1628318558372207,Tamil,Tamil,agree,false
1628739848211557,Kannada,Kannada,agree,false
1628742508669950,English,Hindi,disagree,true
1629675654924775,Gujarati,Gujarati,agree,false
1629713591627815,English,English,agree,false
1629766001479851,Malayalam,Malayalam,agree,false
1629788641378720,Tamil,Tamil,agree,false
1629916878227863,English,Hindi,disagree,true
1630939561247763,English,Hindi,disagree,true
1631502014816088,English,Hindi,disagree,true
1632918904659828,Gujarati,Gujarati,agree,false
1633088194638293,Telugu,Telugu,agree,false
1633513357977227,Marathi,Marathi,agree,false
1633858934287065,Tamil,Tamil,agree,false
1634244961233033,Tamil,Tamil,agree,false
1634247687874165,Tamil,Tamil,agree,false
1634596240921014,Kannada,Kannada,agree,false
1634637974461648,Telugu,Telugu,agree,false
1635016610905029,Tamil,Tamil,agree,false
1635446724422738,Kannada,Kannada,agree,false
1636097347513415,English,Hindi,disagree,true
1637090384215796,Telugu,Telugu,agree,false
1637372094227141,Telugu,Telugu,agree,false
1637815324305283,Malayalam,Malayalam,agree,false
1638251300797325,Gujarati,Gujarati,agree,false
1638503980701255,Gujarati,Gujarati,agree,false
1638603650681901,Tamil,Tamil,agree,false
1638639490679571,Malayalam,Malayalam,agree,false
1638685187199143,Marathi,Marathi,agree,false
1638788880692492,Gujarati,Gujarati,agree,false
1640775290563845,Gujarati,Gujarati,agree,false
1640816750526652,English,Hindi,disagree,true
1641221933807538,Kannada,Kannada,agree,false
1642652350197830,Telugu,Telugu,agree,false
1642682883632159,English,Hindi,disagree,true
