pipeline,competitor,page_id,page_name,ad_id,scrape_date,row_rank,page_rank,ad_start_date,media_type,low_impression
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR10274052892952363009,2026-06-15,239,55,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR10303472285058596865,2026-06-15,243,56,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR10441594550647521281,2026-06-15,248,57,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR10504075192249090049,2026-06-15,252,58,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR10766543761853906945,2026-06-15,256,59,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR10772811527888044033,2026-06-15,260,60,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR11628441744227434497,2026-06-15,265,61,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12295867928175181825,2026-06-15,269,62,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12438457853105143809,2026-06-15,273,63,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12605358461161570305,2026-06-15,277,64,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12670613273679233025,2026-06-15,281,65,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12848689592798281729,2026-06-15,284,66,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12949108883116261377,2026-06-15,288,67,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13189743763133562881,2026-06-15,292,68,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13437940688989716481,2026-06-15,296,69,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13529714313220063233,2026-06-15,301,70,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13560433980905357313,2026-06-15,305,71,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13654429752495177729,2026-06-15,310,72,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13952643204600823809,2026-06-15,315,73,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14115625539762913281,2026-06-15,319,74,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14190844538968342529,2026-06-15,323,75,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14347703066810122241,2026-06-15,328,76,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14916240669604315137,2026-06-15,332,77,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14945050786239873025,2026-06-15,335,78,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14988426906502692865,2026-06-15,339,79,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR15171813583316058113,2026-06-15,343,80,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR15279559787193303041,2026-06-15,347,81,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR15420451026787893249,2026-06-15,351,82,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR15658730589689741313,2026-06-15,355,83,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR16935482366581800961,2026-06-15,359,84,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR17096940452210278401,2026-06-15,364,85,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR17338713988187291649,2026-06-15,368,86,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR17988141080888999937,2026-06-15,371,87,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR18102982871386947585,2026-06-15,376,88,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00214000885871673345,2026-07-13,1,1,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR01506811219065962497,2026-07-13,21,1,,Image,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00455622577574903809,2026-07-13,5,2,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02921113575630045185,2026-07-13,68,2,,Image,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00615567752383430657,2026-07-13,8,3,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR03345577840509714433,2026-07-13,78,3,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00697210613914402817,2026-07-13,12,4,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR05281204839290765313,2026-07-13,134,4,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00810905476345626625,2026-07-13,16,5,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR06250399600163684353,2026-07-13,163,5,,Image,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR06259256716081233921,2026-07-13,166,6,,Image,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR01547339054457028609,2026-07-13,24,7,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR08096095343885680641,2026-07-13,230,7,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR01788401550008254465,2026-07-13,29,8,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR09254080649294249985,2026-07-13,264,8,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02024463535395831809,2026-07-13,34,9,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR11135532511151521793,2026-07-13,313,9,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02126387876743610369,2026-07-13,39,10,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12893366830453751809,2026-07-13,355,10,,Image,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02137283324010299393,2026-07-13,44,11,,YouTubeVideo,
